filename,width,height,class,xmin,ymin,xmax,ymax
63.jpg,574,500,polyp,216,241,431,484
360_others.jpg,574,500,polyp,208,72,263,119
189.jpg,574,500,polyp,280,282,383,396
368_affine.jpg,574,500,polyp,104,89,175,156
23_others.jpg,574,500,polyp,328,280,471,436
402_others.jpg,634,499,polyp,442,336,511,471
77.jpg,574,500,polyp,248,136,367,223
356_ud.jpg,574,500,polyp,224,258,284,302
14_others.jpg,574,500,polyp,216,288,351,431
357_others.jpg,574,500,polyp,219,178,274,215
122_affine.jpg,574,500,polyp,412,0,573,294
516_others.jpg,634,499,polyp,319,240,439,379
274_others.jpg,574,500,polyp,224,144,551,334
569_crop.jpg,634,499,polyp,257,200,343,279
529_affine.jpg,634,499,polyp,128,145,255,196
100_lr.jpg,574,500,polyp,24,192,127,439
162.jpg,574,500,polyp,112,160,206,231
568_crop.jpg,634,499,polyp,303,48,422,127
41_lr.jpg,574,500,polyp,272,136,367,239
88.jpg,574,500,polyp,289,192,350,238
521_others.jpg,634,499,polyp,414,225,486,305
348_ud.jpg,574,500,polyp,272,210,391,271
460_others.jpg,634,499,polyp,528,171,591,263
353_crop.jpg,574,500,polyp,264,216,327,255
419_ud.jpg,634,499,polyp,384,92,483,188
68_crop.jpg,574,500,polyp,401,249,527,359
41_others.jpg,574,500,polyp,208,136,303,239
485_lr.jpg,634,499,polyp,464,192,633,398
22_lr.jpg,574,500,polyp,376,216,495,398
302_others.jpg,574,500,polyp,80,24,551,479
49_affine.jpg,574,500,polyp,264,264,375,423
69_crop.jpg,574,500,polyp,384,281,461,399
134_crop.jpg,574,500,polyp,408,184,535,359
352_crop.jpg,574,500,polyp,296,200,351,237
248_ud.jpg,574,500,polyp,208,120,319,247
177_affine.jpg,574,500,polyp,121,265,237,384
519_ud.jpg,634,499,polyp,448,316,559,401
468_affine.jpg,634,499,polyp,153,216,311,397
140_affine.jpg,574,500,polyp,337,241,573,477
148_others.jpg,574,500,polyp,400,240,543,479
76_others.jpg,574,500,polyp,272,216,423,399
457_others.jpg,634,499,polyp,407,183,447,239
464_ud.jpg,634,499,polyp,370,201,589,390
182_ud.jpg,574,500,polyp,40,144,143,247
216_others.jpg,574,500,polyp,240,280,375,394
235_ud.jpg,574,500,polyp,120,32,223,143
564_ud.jpg,634,499,polyp,325,320,454,407
348.jpg,574,500,polyp,272,225,391,287
574_others.jpg,634,499,polyp,512,248,543,291
461_crop.jpg,634,499,polyp,304,240,463,423
360.jpg,574,500,polyp,208,75,263,119
543_others.jpg,634,499,polyp,153,248,327,406
229_affine.jpg,574,500,polyp,336,112,503,374
406.jpg,634,499,polyp,144,254,319,408
412.jpg,634,499,polyp,128,169,335,350
460_crop.jpg,634,499,polyp,496,200,551,265
374.jpg,574,500,polyp,144,160,205,223
521_crop.jpg,634,499,polyp,424,249,487,326
515_ud.jpg,634,499,polyp,281,248,343,327
244_ud.jpg,574,500,polyp,304,29,439,119
388_crop.jpg,634,499,polyp,248,280,299,347
415_ud.jpg,634,499,polyp,169,56,375,182
344_ud.jpg,574,500,polyp,280,424,371,471
389_crop.jpg,634,499,polyp,224,297,263,366
81_affine.jpg,574,500,polyp,217,32,303,90
89_others.jpg,574,500,polyp,328,104,383,151
214.jpg,574,500,polyp,264,288,390,383
53_lr.jpg,574,500,polyp,248,114,325,190
568_ud.jpg,634,499,polyp,320,347,439,439
239_ud.jpg,574,500,polyp,184,208,348,380
572.jpg,634,499,polyp,456,259,480,295
212_crop.jpg,574,500,polyp,288,328,446,431
188_affine.jpg,574,500,polyp,112,304,191,399
468_ud.jpg,634,499,polyp,64,136,231,327
339_ud.jpg,574,500,polyp,88,140,431,494
566.jpg,634,499,polyp,288,234,399,327
